Year,CountyName,Beef Cattle,Hogs,Milk Cattle,Other Cattle,CAP,CGH,CGY,SH,SAP,SY,State,CN_lb/ac,CN,MN,GN,FN,NS
2007,Cherokee,12347.0,246170.0,1178.0,62989.0,154500.0,149000.0,166.5,126400.0,126500.0,55.0,IA,86.13630690781966,96.6,47.7,175.4,89.5,58.4
2008,Cherokee,12367.586666666668,253776.28457142867,1150.64,60642.94,146500.0,139000.0,196.0,135100.0,135500.0,55.0,IA,85.67760795095693,96.0,47.4,190.3,95.6,48.7
2009,Cherokee,12395.880000000001,262449.88114285714,1056.3600000000001,56439.52666666666,153000.0,148500.0,201.9,135600.0,136000.0,55.5,IA,77.75921881717184,87.2,45.7,192.2,94.9,35.6
2010,Cherokee,12431.88,271696.44800000003,895.1599999999999,50801.19333333333,150500.0,147500.0,186.9,142500.0,143500.0,55.7,IA,61.722900162572444,69.2,43.9,188.2,98.9,23.8
2011,Cherokee,12475.586666666668,278549.93485714286,667.04,46262.54000000001,157000.0,150800.0,176.7,132400.0,134000.0,52.8,IA,73.33511151956475,82.2,43.4,175.9,86.1,35.8
2012,Cherokee,12527.0,282516.0,372.0,43246.0,157500.0,153400.0,158.7,133600.0,134000.0,51.3,IA,74.80794819541599,83.9,42.6,165.6,82.2,43.1
2013,Cherokee,12586.12,283594.6434285714,10.039999999999964,41751.573333333334,157000.0,144900.0,185.1,131400.0,132000.0,53.7,IA,65.62836212697236,73.6,42.4,181.8,87.6,21.8
2014,Cherokee,12652.946666666667,281785.86514285713,0.0,41779.26000000001,153500.0,150600.0,183.6,132600.0,135000.0,55.8,IA,60.90884959179422,68.3,42.4,184.8,95.1,21.0
2015,Cherokee,12727.479999999996,277089.6651428571,0.0,43329.06,150500.0,147000.0,209.6,134700.0,135500.0,62.7,IA,60.49112866754117,67.8,42.9,210.1,113.9,14.5
2016,Cherokee,12809.719999999994,269506.0434285714,0.0,46400.973333333335,152000.0,149400.0,219.7,130500.0,131000.0,69.6,IA,64.43705814817677,72.2,43.7,226.5,128.6,18.0
2017,Cherokee,12899.666666666668,259035.0,0.0,50995.0,146500.0,139100.0,203.7,134700.0,135500.0,62.4,IA,65.5720456061156,73.5,44.4,208.8,114.8,23.9
2018,Cherokee,12997.319999999992,245676.5348571429,0.0,57111.14,148000.0,142800.0,213.3,132900.0,134500.0,64.3,IA,59.08419766115106,66.2,45.1,215.2,118.6,14.7
2019,Cherokee,13102.679999999986,229430.64800000004,0.0,64749.39333333333,153000.0,150400.0,208.9,128100.0,129000.0,58.8,IA,59.781397715858795,67.0,46.2,200.0,100.4,13.6
1997,Clay,9953.0,106955.0,6.0,0.0,123900.0,121500.0,138.1,141000.0,142100.0,46.1,IA,66.91262142181397,75.0,14.9,153.9,80.5,16.5
1998,Clay,9312.039999999999,129662.25142857146,6.0,0.0,128300.0,125600.0,154.2,139400.0,139700.0,50.0,IA,69.0281386566162,77.4,16.5,167.3,89.6,16.2
1999,Clay,8713.159999999998,149773.57714285713,6.0,0.0,140000.0,136500.0,160.8,146800.0,147000.0,48.2,IA,64.83094104766846,72.7,16.8,164.9,83.0,7.6
2000,Clay,8156.36,167288.97714285713,6.0,3054.206666666663,147000.0,143400.0,153.1,141800.0,142000.0,49.0,IA,68.86934629440307,77.2,18.8,161.9,81.8,15.9
2001,Clay,7641.640000000001,182208.45142857142,6.0,8581.46,142000.0,138600.0,136.7,151200.0,152000.0,43.2,IA,57.267688732147214,64.2,21.2,145.4,69.8,9.8
2002,Clay,7169.0,194532.0,6.0,13402.0,149500.0,145500.0,143.6,131800.0,136000.0,42.3,IA,57.83989507675171,64.8,24.1,142.3,62.0,8.6
2003,Clay,6738.4400000000005,204259.62285714288,6.0,17515.82666666667,147000.0,143000.0,160.1,141300.0,142000.0,34.2,IA,64.59742225646973,72.4,25.7,132.8,42.5,7.8
2004,Clay,6349.959999999999,211391.32,6.0,20922.94,156000.0,152000.0,183.4,132300.0,133000.0,47.3,IA,65.81873973846436,73.8,27.1,167.4,72.4,5.9
2005,Clay,6003.560000000002,215850.4171428572,6.0,23623.340000000007,157000.0,153000.0,183.1,133900.0,134500.0,50.0,IA,73.2940323638916,82.2,27.9,172.8,79.3,16.6
2006,Clay,5699.240000000001,217176.86857142864,6.0,25617.026666666672,157000.0,153200.0,159.6,132600.0,133000.0,49.4,IA,72.2955902671814,81.0,28.6,162.0,77.3,24.9
2007,Clay,5437.0,215294.0,6.0,26904.0,169000.0,164500.0,163.6,118700.0,119000.0,50.4,IA,82.892353515625,92.9,28.9,161.3,71.9,32.4
2008,Clay,5216.839999999999,210201.8114285715,6.0,27484.260000000006,155500.0,151000.0,175.0,134300.0,135000.0,48.0,IA,88.4265033531189,99.1,28.3,165.9,74.8,36.3
2009,Clay,5038.76,201900.3028571429,6.0,27357.806666666664,161000.0,160000.0,184.2,129600.0,130000.0,50.5,IA,76.62915435791015,85.9,27.5,172.6,78.0,18.8
2010,Clay,4902.76,191344.2,6.0,26628.153333333332,159000.0,156000.0,177.6,130000.0,130500.0,52.7,IA,65.8968754863739,73.9,26.4,174.9,84.0,9.4
2011,Clay,4808.840000000001,184261.85714285716,6.0,25916.38,165500.0,152500.0,185.4,125200.0,126000.0,51.9,IA,79.51018132209778,89.1,25.4,176.1,78.7,17.1
2012,Clay,4757.0,181608.0,6.0,25326.0,165000.0,158900.0,170.1,125100.0,125500.0,50.1,IA,76.64624677658081,85.9,25.1,165.5,74.5,20.0
2013,Clay,4747.240000000001,183382.6285714286,6.0,24857.01333333333,165500.0,150400.0,167.2,118600.0,119500.0,44.4,IA,74.80499057769775,83.9,25.6,153.5,59.4,15.4
2014,Clay,4779.56,189585.74285714288,6.0,24509.42,160500.0,155700.0,166.3,126500.0,127500.0,47.8,IA,63.85096927642822,71.6,25.7,160.2,70.8,7.9
2015,Clay,4853.96,200217.34285714282,6.0,24283.219999999994,155500.0,147400.0,202.8,130000.0,130500.0,60.7,IA,64.93046464920045,72.8,26.8,202.2,104.8,2.2
2016,Clay,4970.44,215277.42857142858,6.0,24178.413333333334,157000.0,146100.0,202.0,125500.0,126000.0,61.9,IA,69.22576194763184,77.6,28.4,203.6,105.2,7.6
2017,Clay,5129.0,234766.0,6.0,24195.0,151000.0,148400.0,197.3,127300.0,128000.0,57.6,IA,70.48986087799072,79.0,30.6,193.1,97.7,14.2
2018,Clay,5329.640000000001,258683.05714285714,6.0,24332.980000000003,145500.0,141900.0,158.5,127200.0,128500.0,52.6,IA,63.499833545684815,71.2,33.4,168.9,87.2,22.9
2019,Clay,5572.360000000002,287028.60000000003,6.0,24592.353333333336,151000.0,136600.0,185.5,113500.0,115000.0,50.9,IA,64.24794542312623,72.0,37.2,174.5,76.4,11.1
1997,Dickinson,4134.0,45433.0,616.0,11867.666666666679,83900.0,80600.0,128.8,83800.0,84500.0,41.0,IA,61.95834413255964,69.5,16.7,136.7,61.8,11.3
1998,Dickinson,4061.64,41914.39657142858,394.56,14371.720000000001,86300.0,84200.0,152.0,89400.0,90100.0,50.3,IA,59.37039634159633,66.6,16.4,166.1,88.6,5.5
1999,Dickinson,3972.7599999999998,39085.29485714286,241.24,16568.08,87000.0,84800.0,150.7,87900.0,88000.0,43.6,IA,59.63719041006906,66.9,17.0,150.3,69.0,2.6
2000,Dickinson,3867.36,36945.69485714286,156.04000000000002,18456.746666666666,89000.0,86100.0,150.9,85900.0,86000.0,45.5,IA,61.7590697152274,69.2,17.5,153.8,72.5,5.4
2001,Dickinson,3745.4400000000005,35495.59657142857,138.96,20037.72,87000.0,84500.0,129.7,93100.0,95000.0,40.2,IA,53.87632778712681,60.4,17.3,136.4,62.0,3.3
2002,Dickinson,3607.0,34735.0,190.0,21311.0,90500.0,86500.0,144.5,81700.0,82000.0,45.9,IA,56.45765314102173,63.3,18.7,151.0,71.1,2.1
2003,Dickinson,3452.0400000000004,34663.90514285714,309.1600000000001,22276.586666666666,89000.0,85000.0,160.6,86700.0,87000.0,34.9,IA,60.88532984597342,68.3,18.8,134.7,44.6,-3.0
2004,Dickinson,3280.5600000000004,35282.312000000005,496.44,22934.479999999996,93000.0,90000.0,188.8,82700.0,83000.0,44.4,IA,64.14945512499128,71.9,19.3,164.4,66.8,-6.4
2005,Dickinson,3092.56,36452.75885714286,751.8399999999999,23284.68,93000.0,90000.0,170.4,82100.0,82500.0,49.2,IA,67.81350086757115,76.0,19.8,167.0,78.7,7.5
2006,Dickinson,2888.04,37350.47542857144,1075.36,23327.186666666665,91000.0,89500.0,159.0,82200.0,82500.0,48.1,IA,60.61104526519775,67.9,20.4,160.5,76.8,4.6
2007,Dickinson,2667.0,37838.0,1467.0,23062.0,97500.0,95700.0,165.8,74800.0,75000.0,51.0,IA,75.5888027872358,84.7,20.7,165.2,77.1,17.3
2008,Dickinson,2429.4400000000005,37915.332571428575,1926.7600000000002,22489.12,89000.0,87500.0,168.0,82300.0,82500.0,44.0,IA,78.16768907819475,87.6,20.8,155.9,67.1,19.6
2009,Dickinson,2175.3600000000006,37582.47314285714,2454.6400000000003,21608.546666666665,94000.0,93000.0,185.3,82500.0,83000.0,49.5,IA,66.96134316580635,75.1,20.1,172.9,79.3,1.6
2010,Dickinson,1904.7599999999993,37203.152,3050.6400000000003,20483.933333333334,92500.0,91000.0,181.0,86500.0,87000.0,50.2,IA,56.91305965014866,63.8,19.6,174.0,83.8,-6.8
2011,Dickinson,1617.6399999999999,38959.750857142855,3714.76,19497.2,99000.0,97300.0,169.3,78600.0,79200.0,48.1,IA,63.54463945116316,71.2,20.0,161.9,71.8,1.1
2012,Dickinson,1314.0,43216.0,4447.0,18712.0,97500.0,95400.0,160.9,80100.0,80300.0,48.2,IA,63.23560650008066,70.9,20.7,159.5,73.2,5.3
2013,Dickinson,993.8400000000001,49971.89942857143,5247.360000000001,18128.333333333336,99000.0,93000.0,162.4,73400.0,73700.0,44.7,IA,64.96181334086828,72.8,22.6,152.1,61.1,4.4
2014,Dickinson,657.159999999999,59227.449142857135,6115.84,17746.200000000004,94500.0,92300.0,157.9,79600.0,80100.0,44.0,IA,56.58765691348484,63.4,24.1,150.5,63.9,0.9
2015,Dickinson,303.96000000000095,70982.64914285713,7052.44,17565.6,93500.0,91700.0,194.5,79000.0,79300.0,56.4,IA,58.18431802477156,65.2,26.6,189.7,94.7,-3.2
2016,Dickinson,0.0,85237.49942857143,8057.16,17586.533333333336,92000.0,89000.0,188.0,79500.0,79800.0,56.1,IA,61.69887150355748,69.2,29.7,187.5,95.1,6.5
2017,Dickinson,0.0,101992.0,9130.0,17809.0,91000.0,89800.0,196.2,80000.0,80400.0,57.7,IA,62.7436771937779,70.3,33.4,193.9,100.1,9.9
2018,Dickinson,0.0,121246.15085714286,10270.960000000001,18233.0,90000.0,86800.0,160.4,85000.0,86200.0,49.8,IA,57.0852118900844,64.0,36.5,166.1,83.5,17.9
2019,Dickinson,0.0,142999.952,11480.04,18858.533333333333,94000.0,91700.0,170.0,75100.0,75600.0,51.3,IA,57.887037072862896,64.9,42.7,168.6,79.7,18.7
1997,Emmet,3510.999999999999,120584.0,5.0,0.0,101100.0,98900.0,144.9,102000.0,102800.0,43.4,IA,63.57187086438376,71.3,16.7,147.7,68.6,8.9
1998,Emmet,3649.9733333333334,130261.38742857144,5.0,0.0,107400.0,106200.0,154.7,101700.0,102000.0,48.1,IA,64.6812362065391,72.5,17.5,159.8,78.7,8.9
1999,Emmet,3785.959999999999,138520.48114285714,5.0,0.0,113000.0,111500.0,148.6,104900.0,105000.0,40.2,IA,63.816194382924884,71.5,17.8,140.6,57.2,5.9
2000,Emmet,3918.96,145361.28114285713,5.0,0.0,117000.0,114800.0,156.4,102700.0,103000.0,43.0,IA,67.42616356743707,75.6,18.5,148.5,62.7,8.3
2001,Emmet,4048.9733333333334,150783.78742857144,5.0,7224.100000000003,111000.0,108800.0,131.1,111900.0,114000.0,39.6,IA,54.38651514810229,61.0,21.6,134.3,58.6,6.9
2002,Emmet,4176.0,154788.0,5.0,16752.0,117000.0,114500.0,153.7,97800.0,98000.0,45.5,IA,60.219665708996004,67.5,27.0,151.6,67.2,10.1
2003,Emmet,4300.04,157373.91885714285,5.0,24395.266666666666,117000.0,114500.0,165.9,99600.0,100000.0,35.2,IA,62.05195950704908,69.6,30.2,136.2,42.3,5.9
2004,Emmet,4421.093333333333,158541.544,5.0,30153.899999999998,123000.0,121000.0,181.8,95200.0,96000.0,43.9,IA,66.835875193278,74.9,32.4,158.6,60.9,9.6
2005,Emmet,4539.16,158699.44914285713,5.0,34027.9,118000.0,116000.0,182.7,101100.0,101500.0,50.1,IA,68.34168809557718,76.6,34.0,172.7,79.7,17.6
2006,Emmet,4654.24,160299.07657142857,5.0,36017.26666666667,123000.0,121900.0,165.9,94300.0,94500.0,49.6,IA,68.5107173616924,76.8,35.3,162.4,73.7,23.4
2007,Emmet,4766.333333333334,163749.0,5.0,36122.0,133500.0,132100.0,175.7,84900.0,85000.0,52.7,IA,81.05853816441127,90.9,35.7,168.0,72.5,31.1
2008,Emmet,4875.4400000000005,169049.21942857144,5.0,34342.100000000006,122000.0,119500.0,168.0,95800.0,96000.0,45.0,IA,86.18551448034862,96.6,35.7,155.2,63.8,40.9
2009,Emmet,4981.5599999999995,176199.73485714284,5.0,30677.566666666666,115000.0,114000.0,190.1,94300.0,95000.0,50.5,IA,71.39633354308113,80.0,36.4,175.5,79.0,19.9
2010,Emmet,5084.693333333334,184516.504,5.0,25468.753333333334,116000.0,114500.0,183.1,91000.0,91500.0,51.0,IA,67.4243408687531,75.6,35.7,172.8,78.2,16.7
2011,Emmet,5184.84,189895.27314285716,5.0,20757.780000000002,119500.0,118100.0,169.6,86100.0,86700.0,49.7,IA,78.45403307960147,87.9,34.6,162.8,71.6,31.3
2012,Emmet,5282.0,191652.0,5.0,16885.0,119000.0,117600.0,166.6,88700.0,89000.0,46.5,IA,75.47763379414876,84.6,33.0,156.4,65.4,26.6
2013,Emmet,5376.173333333332,189786.68457142857,5.0,13850.413333333336,121000.0,119400.0,166.4,82300.0,82800.0,40.9,IA,77.72167345077273,87.1,32.2,144.8,49.8,24.3
2014,Emmet,5467.360000000001,184299.32685714285,5.0,11654.020000000002,120500.0,119000.0,165.0,88400.0,88900.0,42.3,IA,67.37476575942267,75.5,29.8,147.7,55.3,12.9
2015,Emmet,5555.56,175189.92685714285,5.0,10295.82,122500.0,120300.0,203.3,88800.0,89200.0,58.1,IA,69.79612716795906,78.2,28.0,192.8,90.9,4.3
