Year,CountyName,Beef Cattle,Hogs,Milk Cattle,Other Cattle,CAP,CGH,CGY,SH,SAP,SY,State,CN_lb/ac,CN,MN,GN,FN,NS
2013,Franklin,5227.799999999999,528168.5805714285,1171.04,9715.973333333335,195500.0,192100.0,179.6,101100.0,101500.0,46.0,IA,91.23430184523265,102.3,49.3,155.4,51.3,47.5
2014,Franklin,5476.4,506928.6708571429,1341.76,8924.26,208000.0,205000.0,165.8,108400.0,109000.0,47.4,IA,82.80035388469696,92.8,44.5,150.9,54.3,40.7
2015,Franklin,5746.800000000001,485773.2708571428,1527.1599999999999,8240.86,198500.0,194500.0,200.2,115900.0,116500.0,57.8,IA,82.38306083281834,92.4,43.2,185.8,79.1,28.9
2016,Franklin,6039.0,464702.38057142857,1727.24,7665.7733333333335,214000.0,212000.0,204.8,97600.0,98100.0,60.5,IA,88.14332550764084,98.8,42.0,186.0,71.9,26.7
2017,Franklin,6353.0,443716.0,1942.0,7199.0,201000.0,199500.0,206.1,113300.0,114000.0,57.0,IA,89.92698041598003,100.8,40.2,186.2,75.9,30.7
2018,Franklin,6688.799999999999,422814.1291428573,2171.44,6840.540000000001,203000.0,193800.0,204.3,108100.0,109500.0,58.5,IA,80.77481146653493,90.5,39.0,187.3,76.3,18.5
2019,Franklin,7046.4000000000015,401996.76800000004,2415.5600000000004,6590.393333333334,207500.0,205000.0,202.7,98500.0,99300.0,54.1,IA,81.74494278430939,91.6,38.3,177.0,62.8,15.7
1997,Hancock,2807.0,175177.0,355.0,4610.666666666669,170300.0,168500.0,144.4,138300.0,139100.0,42.7,IA,67.83344938399944,76.0,16.5,141.6,59.5,10.4
1998,Hancock,2481.3115789473686,174845.10742857144,357.87368421052633,5113.120000000001,172300.0,171300.0,142.9,135400.0,135700.0,48.2,IA,67.91451214729472,76.1,16.6,150.7,71.4,13.4
1999,Hancock,2270.8673684210526,177226.56114285713,353.4105263157894,5607.479999999997,165000.0,163400.0,150.6,139900.0,140000.0,42.9,IA,63.89851257648874,71.6,17.0,145.3,61.3,4.6
2000,Hancock,2175.6673684210527,182321.36114285717,341.6105263157895,6093.746666666668,168000.0,166700.0,154.5,138900.0,139000.0,47.5,IA,68.12978271727866,76.4,17.4,155.3,71.7,10.2
2001,Hancock,2195.7115789473683,190129.5074285714,322.47368421052624,6571.92,161000.0,159100.0,145.0,145900.0,147000.0,42.1,IA,57.098454008711144,64.0,18.1,142.7,61.6,1.0
2002,Hancock,2331.0,200651.0,296.0,7042.0,161000.0,159000.0,167.9,137200.0,138000.0,49.5,IA,56.876168738020226,63.8,19.6,165.4,78.1,-3.9
2003,Hancock,2581.5326315789475,213885.83885714287,262.1894736842105,7503.986666666667,164000.0,162000.0,169.1,136400.0,137000.0,34.0,IA,65.52727273169984,73.5,20.8,134.9,38.8,-1.8
2004,Hancock,2947.3094736842104,229834.02400000003,221.04210526315785,7957.879999999999,174000.0,172000.0,176.5,129300.0,130000.0,43.4,IA,67.66852100859298,75.9,22.1,154.8,58.2,1.4
2005,Hancock,3403.4463157894734,248143.72914285716,174.41473684210524,8403.68,174000.0,172000.0,182.3,127900.0,128500.0,53.7,IA,75.4522098784751,84.6,24.0,176.0,81.5,14.1
2006,Hancock,3800.6378947368416,266703.99657142867,133.44842105263157,8841.386666666665,176500.0,174600.0,175.9,124300.0,124500.0,50.2,IA,69.51076442637343,77.9,25.9,166.0,71.5,9.3
2007,Hancock,4114.0,285163.0,100.0,9271.0,204500.0,202500.0,178.6,97400.0,97500.0,53.0,IA,89.37937290110487,100.2,27.6,163.4,60.7,25.1
2008,Hancock,4343.532631578948,303520.73942857154,74.06947368421051,9692.52,193000.0,185000.0,171.0,111500.0,112000.0,50.0,IA,83.66227261563564,93.8,29.0,160.0,63.1,25.9
2009,Hancock,4489.235789473683,321777.2148571429,55.65684210526316,10105.946666666667,196000.0,195500.0,178.5,115500.0,116000.0,50.0,IA,77.49283912334036,86.9,29.9,163.0,63.9,17.7
2010,Hancock,4551.109473684211,339717.624,44.7621052631579,10482.373333333333,190000.0,185500.0,176.9,120500.0,121000.0,51.2,IA,81.7612747841693,91.7,31.6,166.2,69.4,26.5
2011,Hancock,4529.153684210526,356053.1531428572,41.385263157894734,10648.36,203500.0,200500.0,179.8,107200.0,108000.0,50.3,IA,103.7806819753444,116.3,32.8,162.2,60.1,47.0
2012,Hancock,4423.368421052632,370569.0,45.52631578947368,10575.0,206000.0,200500.0,143.3,104400.0,105000.0,41.4,IA,106.54185173359323,119.4,33.9,130.8,42.3,64.8
2013,Hancock,4233.753684210526,383265.16457142856,57.18526315789475,10262.293333333335,182500.0,177500.0,169.9,100000.0,100500.0,45.7,IA,91.65622735530772,102.7,38.2,151.4,52.8,42.3
2014,Hancock,3960.3094736842104,394141.6468571429,76.3621052631579,9710.240000000002,200500.0,193400.0,173.9,105500.0,106000.0,47.6,IA,88.53748861272284,99.3,35.9,155.7,54.9,34.4
2015,Hancock,3603.035789473684,403198.44685714284,103.05684210526317,8918.84,190500.0,187000.0,201.2,113600.0,114500.0,59.6,IA,83.17965406052609,93.2,36.4,189.6,84.0,24.0
2016,Hancock,3161.932631578947,410435.5645714286,137.26947368421054,7888.093333333334,200500.0,198100.0,200.3,99900.0,101000.0,62.4,IA,88.95733618228994,99.7,36.9,188.7,80.0,27.9
2017,Hancock,2637.0,415853.0,179.0,6618.0,188000.0,184500.0,200.2,115400.0,116000.0,57.4,IA,90.741767802137,101.7,36.5,186.3,80.8,32.7
2018,Hancock,2028.2378947368425,419450.7531428571,228.24842105263158,5108.5599999999995,184500.0,181400.0,176.7,120500.0,122000.0,53.2,IA,81.55039685837765,91.4,35.8,170.0,75.3,32.5
2019,Hancock,1335.646315789474,421228.824,285.0147368421052,3359.7733333333344,198000.0,195400.0,193.3,107100.0,108000.0,49.6,IA,82.52517805708216,92.5,35.2,168.1,59.9,19.5
1997,Humboldt,1613.0,85407.0,299.0,0.0,124700.0,123400.0,147.9,122900.0,123400.0,46.3,IA,69.42273203531902,77.8,9.5,154.3,75.5,8.5
1998,Humboldt,1613.0,88090.43542857144,299.0,0.0,126100.0,124900.0,137.1,118600.0,118900.0,46.7,IA,66.40418854970781,74.4,9.9,150.0,74.7,9.0
1999,Humboldt,1613.0,90524.75314285714,299.0,1546.8399999999947,127000.0,125700.0,143.7,119900.0,120000.0,41.8,IA,67.3939218672495,75.5,10.6,142.3,61.9,5.7
2000,Humboldt,1613.0,92709.95314285714,299.0,4675.873333333335,130000.0,128300.0,158.8,117900.0,118000.0,45.9,IA,69.23188660636781,77.6,11.9,155.9,71.2,4.8
2001,Humboldt,1613.0,94646.03542857143,299.0,7332.260000000001,125000.0,123300.0,144.6,121200.0,122000.0,42.8,IA,56.38324985806904,63.2,13.0,145.3,65.6,-3.5
2002,Humboldt,1613.0,96333.0,299.0,9516.0,126500.0,124000.0,172.6,114700.0,115000.0,47.4,IA,55.755587502131384,62.5,14.3,164.4,75.1,-12.5
2003,Humboldt,1613.0,97770.84685714285,299.0,11227.093333333332,128500.0,126500.0,169.2,116400.0,117000.0,33.8,IA,68.47972040327768,76.8,14.8,135.0,40.1,-3.3
2004,Humboldt,1613.0,98959.576,299.0,12465.54,132000.0,130000.0,190.2,113500.0,114000.0,47.4,IA,65.9439059666225,73.9,15.3,170.3,73.1,-8.0
2005,Humboldt,1613.0,100233.46514285714,299.0,13231.340000000002,131000.0,129000.0,188.2,111900.0,112500.0,51.9,IA,76.47942921471974,85.7,15.9,178.4,84.1,7.3
2006,Humboldt,1613.0,103598.18057142859,299.0,13524.493333333334,131000.0,129900.0,181.3,110300.0,110500.0,52.5,IA,71.8343374464247,80.5,16.5,176.4,84.8,5.4
2007,Humboldt,1613.0,109388.0,299.0,13345.0,147500.0,146100.0,177.5,93900.0,94000.0,51.8,IA,88.90400072128054,99.7,17.0,167.3,70.7,20.1
2008,Humboldt,1613.0,117602.92342857145,299.0,12692.86,139000.0,134500.0,172.0,104600.0,105000.0,49.5,IA,85.14242668757363,95.4,17.4,164.9,72.8,20.7
2009,Humboldt,1613.0,128242.95085714286,299.0,11568.073333333334,140500.0,139500.0,191.0,102100.0,102500.0,53.5,IA,79.39749902392191,89.0,18.1,179.0,80.5,8.6
2010,Humboldt,1613.0,140545.176,299.0,10078.646666666666,135000.0,131000.0,153.2,105500.0,107000.0,46.0,IA,71.46105599781824,80.1,18.9,151.2,66.4,14.2
2011,Humboldt,1613.0,149932.16114285713,299.0,8872.62,142500.0,141400.0,185.5,99400.0,100000.0,51.8,IA,91.82765894087534,102.9,19.4,172.7,74.9,24.5
2012,Humboldt,1613.0,155641.0,299.0,8058.0,145000.0,142500.0,146.1,97000.0,97500.0,43.0,IA,91.61405817667644,102.7,19.7,139.3,53.9,37.0
2013,Humboldt,1613.0,157671.69257142855,299.0,7634.786666666668,127000.0,125500.0,155.4,99200.0,99600.0,43.9,IA,73.74187505812873,82.7,21.1,147.7,61.0,17.1
2014,Humboldt,1613.0,156024.23885714286,299.0,7602.980000000001,142500.0,139300.0,176.9,95900.0,96400.0,46.4,IA,78.11425036475772,87.6,19.8,159.0,61.5,9.9
2015,Humboldt,1613.0,150698.63885714283,299.0,7962.58,136000.0,133700.0,194.8,103000.0,103500.0,56.6,IA,77.25356789240762,86.6,19.4,187.5,89.7,8.2
2016,Humboldt,1613.0,141694.8925714286,299.0,8713.586666666668,145000.0,140600.0,206.1,93600.0,94100.0,61.0,IA,82.57182881188771,92.6,18.8,196.6,91.0,5.8
2017,Humboldt,1613.0,129013.0,299.0,9856.0,133500.0,132600.0,200.9,104400.0,105000.0,58.0,IA,84.18458351256355,94.4,17.9,193.2,94.7,13.8
2018,Humboldt,1613.0,112652.96114285715,299.0,11389.82,136500.0,131800.0,162.3,100200.0,102500.0,50.4,IA,75.64856768411303,84.8,16.8,162.0,74.6,14.2
2019,Humboldt,1613.0,92614.77600000003,299.0,13315.046666666669,137000.0,134200.0,198.7,99700.0,100500.0,54.9,IA,76.55716184585813,85.8,15.6,185.2,83.9,0.1
1997,Kossuth,4931.0,319591.0,1029.0,4491.833333333334,290300.0,286100.0,147.2,250500.0,251600.0,43.8,IA,70.26554942425386,78.8,16.7,146.1,64.2,13.6
1998,Kossuth,5289.68,312062.2331428572,804.8,9788.719999999988,305100.0,301800.0,148.5,247100.0,247700.0,46.9,IA,67.59255050141134,75.8,16.9,151.3,69.5,10.9
1999,Kossuth,5556.0199999999995,318682.94971428567,652.9999999999999,14490.879999999986,300000.0,291200.0,150.7,252300.0,259000.0,41.9,IA,63.98456554648317,71.7,17.7,143.5,59.3,5.2
2000,Kossuth,5730.02,339453.14971428574,573.5999999999999,18598.313333333328,306000.0,302100.0,157.6,250600.0,251000.0,45.9,IA,68.25316784705645,76.5,19.3,153.4,67.4,9.8
2001,Kossuth,5811.68,374372.8331428571,566.5999999999999,22111.02,293000.0,288100.0,138.1,261800.0,264000.0,40.6,IA,55.479542708691255,62.2,21.4,136.8,57.4,4.2
2002,Kossuth,5801.0,423442.0,632.0,25029.0,298000.0,294000.0,163.3,245500.0,246000.0,48.1,IA,61.248163576479314,68.7,24.6,160.1,73.1,6.3
2003,Kossuth,5697.9800000000005,486660.65028571425,769.8000000000001,27352.253333333338,299500.0,295000.0,170.7,253900.0,255000.0,33.7,IA,66.58422253455645,74.6,27.3,135.0,38.5,5.4
2004,Kossuth,5502.62,564028.784,980.0,29080.78,312000.0,308000.0,178.4,238600.0,240000.0,43.0,IA,66.94693281621109,75.0,31.2,155.2,58.3,9.3
2005,Kossuth,5233.660000000001,650199.9977142856,1241.76,30214.580000000005,308000.0,305000.0,187.5,230300.0,231500.0,54.7,IA,75.35891497576678,84.5,36.0,180.4,84.6,24.7
2006,Kossuth,5003.54,713095.870857143,1430.0400000000004,30753.653333333335,306000.0,303500.0,177.2,232200.0,233000.0,53.1,IA,69.13275177096143,77.5,39.0,173.4,81.5,24.6
2007,Kossuth,4831.0,747370.0,1524.0,30698.0,339500.0,336400.0,178.6,202600.0,203000.0,52.5,IA,89.51997501467481,100.4,40.2,167.5,69.4,42.5
2008,Kossuth,4716.040000000001,753022.3851428572,1523.6400000000003,30047.620000000006,320000.0,315500.0,171.0,224500.0,225500.0,48.0,IA,87.52135027190785,98.1,40.1,159.9,66.6,44.9
2009,Kossuth,4658.660000000001,730053.0262857142,1428.9600000000005,28802.51333333334,320000.0,317000.0,191.6,223500.0,224500.0,52.5,IA,77.05256657541534,86.4,38.9,176.7,76.4,25.0
2010,Kossuth,4658.86,683262.824,1239.96,27063.76666666667,311000.0,307000.0,184.0,233000.0,233500.0,52.9,IA,75.04799376593695,84.1,36.5,175.7,80.4,25.3
2011,Kossuth,4716.64,641457.1817142856,956.6400000000001,25437.900000000005,326500.0,321500.0,179.9,218000.0,220000.0,49.0,IA,93.78038275683367,105.1,34.1,164.6,67.0,41.6
2012,Kossuth,4832.0,609437.0,579.0,24026.0,327000.0,320500.0,164.6,218500.0,219500.0,47.6,IA,91.20617235442738,102.2,32.4,155.5,63.8,42.9
2013,Kossuth,5004.94,587202.2788571428,107.03999999999996,22828.06666666667,309500.0,301000.0,167.7,197900.0,199000.0,42.9,IA,86.1360949292595,96.6,33.4,148.2,52.2,34.0
2014,Kossuth,5235.460000000001,574753.0182857143,0.0,21844.100000000002,330000.0,324000.0,176.6,213500.0,216000.0,46.5,IA,79.5856978216289,89.2,30.4,158.3,60.5,21.8
2015,Kossuth,5523.559999999998,572089.2182857143,0.0,21074.1,318500.0,312500.0,199.0,221500.0,222500.0,61.0,IA,78.75509915528474,88.3,30.5,195.2,95.1,18.7
2016,Kossuth,5869.239999999998,579210.878857143,0.0,20518.06666666667,338000.0,334000.0,204.7,199400.0,205500.0,63.4,IA,84.06367760528752,94.2,30.7,196.9,92.4,20.4
2017,Kossuth,6272.5,596118.0,0.0,20176.0,311500.0,308000.0,205.6,217500.0,218500.0,60.4,IA,85.6837876284564,96.1,32.3,196.9,94.0,25.5
2018,Kossuth,6733.3399999999965,622810.5817142858,0.0,20047.9,304000.0,295500.0,180.2,219000.0,220500.0,54.2,IA,77.18555742428626,86.5,34.0,176.0,81.8,26.3
2019,Kossuth,7251.759999999995,659288.624,0.0,20133.766666666666,315000.0,310000.0,198.7,203000.0,204500.0,57.4,IA,78.16639208499296,87.6,36.2,186.7,83.4,20.5
1997,Mitchell,3084.0,265253.0,2974.0,0.0,132400.0,124900.0,149.9,99500.0,100300.0,46.5,IA,68.51665744533787,76.8,31.9,150.5,65.9,24.1
1998,Mitchell,3030.230857142857,252571.93600000002,2788.4080000000004,2769.280000000009,138900.0,135100.0,162.4,99800.0,100100.0,50.8,IA,65.61714306125393,73.6,30.6,162.1,73.8,15.9
1999,Mitchell,3035.1462857142856,243583.104,2637.312,13392.119999999994,135000.0,129400.0,154.9,103200.0,105000.0,47.8,IA,66.407392922934,74.4,33.3,155.1,70.0,22.6
2000,Mitchell,3098.746285714286,238286.50400000002,2520.712,22907.353333333336,137000.0,131500.0,146.7,102900.0,103000.0,48.3,IA,65.22258907169491,73.1,36.2,152.2,69.8,26.9
2001,Mitchell,3221.030857142857,236682.13599999997,2438.608,31314.980000000003,129000.0,123300.0,145.5,110200.0,111000.0,35.4,IA,56.98700498605703,63.9,39.1,128.8,43.0,17.2
2002,Mitchell,3402.0,238770.0,2391.0,38615.0,130500.0,124500.0,177.5,104700.0,105000.0,49.6,IA,58.30714441274668,65.4,42.9,168.9,75.6,15.0
2003,Mitchell,3641.653714285714,244550.09600000002,2377.8880000000004,44807.41333333334,135000.0,128000.0,156.3,105500.0,106000.0,31.2,IA,64.10820076682351,71.9,44.8,124.1,30.9,23.5
2004,Mitchell,3939.992,254022.424,2399.2720000000004,49892.21999999999,138000.0,132000.0,175.3,101300.0,102000.0,43.8,IA,67.6669746993424,75.9,48.0,155.3,58.8,27.4
2005,Mitchell,4286.890285714286,266025.272,2447.456,53869.420000000006,136000.0,130000.0,186.6,100000.0,100500.0,53.6,IA,74.84893670020165,83.9,51.7,178.4,81.3,38.5
2006,Mitchell,4621.601142857144,273588.3680000001,2476.264000000001,56739.013333333336,139000.0,132800.0,170.5,96800.0,98500.0,52.5,IA,70.77614132769696,79.3,53.5,168.3,76.9,41.4
2007,Mitchell,4934.0,275550.0,2478.0,58501.0,158000.0,152600.0,174.2,80800.0,81000.0,53.5,IA,84.2534693928508,94.4,54.2,164.1,64.6,49.1
2008,Mitchell,5224.086857142858,271910.16800000006,2452.6640000000007,59155.380000000005,152500.0,144500.0,174.0,86700.0,87500.0,45.0,IA,85.10560900205141,95.4,54.0,153.2,52.8,49.0
2009,Mitchell,5491.861714285715,262668.87200000003,2400.256,58702.15333333333,152500.0,149000.0,177.2,87200.0,87500.0,45.5,IA,68.37337969495104,76.6,53.0,155.1,53.8,28.3
2010,Mitchell,5730.032,248742.304,2333.2720000000004,57281.246666666666,152500.0,146000.0,190.5,88100.0,88500.0,54.2,IA,78.6299433026995,88.1,50.9,175.8,71.4,34.6
2011,Mitchell,5894.842285714287,235627.616,2326.688,55732.22000000001,158500.0,155000.0,180.1,83100.0,83700.0,51.0,IA,96.11010261634728,107.7,48.9,163.4,61.3,54.5
2012,Mitchell,5979.0,224241.0,2393.0,54195.0,158500.0,144400.0,131.4,83000.0,83500.0,42.5,IA,93.16876621989461,104.4,47.3,128.6,45.3,68.4
2013,Mitchell,5982.505142857142,214582.456,2532.2079999999996,52669.58666666667,109000.0,102200.0,164.1,69800.0,70400.0,40.8,IA,63.74472395166174,71.5,61.9,143.5,47.9,37.8
2014,Mitchell,5905.357714285714,206651.984,2744.312,51155.98,160000.0,153000.0,175.1,81800.0,82100.0,49.2,IA,83.05969144152357,93.1,44.7,158.3,56.8,36.3
2015,Mitchell,5747.557714285714,200449.58399999997,3029.3119999999994,49654.18,151000.0,146400.0,202.1,91400.0,91900.0,59.7,IA,78.79477543025821,88.3,43.5,190.9,84.9,25.8
2016,Mitchell,5509.105142857143,195975.25600000002,3387.2080000000005,48164.186666666676,160500.0,156200.0,199.1,83900.0,84400.0,61.0,IA,84.05812696977095,94.2,42.3,187.7,79.7,28.5
2017,Mitchell,5190.0,193229.0,3818.0,46686.0,150000.0,144900.0,213.4,92500.0,93000.0,54.4,IA,85.67756489345005,96.0,41.9,187.7,74.9,25.1
2018,Mitchell,4790.2422857142865,192210.81600000002,4321.688,45219.619999999995,146500.0,139500.0,193.3,88700.0,89800.0,55.6,IA,77.36084549148362,86.7,42.7,180.5,76.8,25.7
2019,Mitchell,4309.832,192920.704,4898.272000000001,43765.04666666667,155000.0,149700.0,194.5,76900.0,77500.0,49.8,IA,78.43732521750711,87.9,43.1,167.9,56.9,20.0
1997,Winnebago,1138.0,44983.0,563.0,0.0,123100.0,121500.0,149.3,98800.0,99700.0,43.6,IA,64.31186551758738,72.1,6.1,145.1,61.4,-5.5
1998,Winnebago,1119.3368421052633,59818.21257142857,491.11999999999995,0.0,129200.0,128300.0,160.0,101400.0,101900.0,47.2,IA,66.52785254969741,74.6,7.3,155.9,69.1,-4.9
1999,Winnebago,1127.3052631578948,73324.31885714285,423.68,0.0,123000.0,121300.0,142.6,107400.0,108000.0,40.4,IA,64.60408202084628,72.4,8.7,137.7,56.1,-0.5
2000,Winnebago,1161.905263157895,85501.31885714286,360.68,0.0,127000.0,125900.0,150.7,102900.0,103000.0,46.9,IA,63.80698796474572,71.5,10.0,152.2,69.4,-1.3
2001,Winnebago,1223.1368421052632,96349.21257142858,302.12000000000006,2548.02,118000.0,116700.0,132.0,112100.0,113000.0,37.2,IA,57.37436124050256,64.3,12.1,128.3,50.2,-1.7
2002,Winnebago,1311.0,105868.0,248.0,4914.0,120700.0,119000.0,164.7,101400.0,102000.0,47.7,IA,58.70597356738466,65.8,14.5,160.3,73.0,-7.0
2003,Winnebago,1425.4947368421053,114057.68114285715,198.32000000000002,6869.120000000001,121500.0,120000.0,162.1,102500.0,103000.0,35.5,IA,66.58953343015729,74.6,16.1,135.1,42.9,-1.5
2004,Winnebago,1566.621052631579,120918.25600000001,153.08000000000004,8413.38,127000.0,125500.0,178.8,97800.0,99000.0,42.0,IA,65.40531568816213,73.3,17.3,153.6,56.3,-6.7
2005,Winnebago,1727.3473684210526,126628.11085714288,112.28,9546.78,128000.0,127000.0,189.6,95000.0,95500.0,53.4,IA,71.28272703922156,79.9,18.7,178.7,81.3,1.2
2006,Winnebago,1865.4842105263156,132257.56342857145,75.92,10269.32,126000.0,124600.0,173.9,96600.0,97000.0,53.0,IA,66.29062430063884,74.3,19.7,172.2,81.8,3.6
2007,Winnebago,1974.0,137985.0,44.0,10581.0,144000.0,143000.0,186.1,77300.0,77500.0,55.1,IA,83.25215680671461,93.3,20.6,172.7,69.8,11.0
2008,Winnebago,2052.894736842105,143810.4205714286,16.520000000000003,10481.82,132000.0,128000.0,177.0,90200.0,90500.0,46.5,IA,83.31362949718128,93.4,21.1,159.6,62.2,17.1
2009,Winnebago,2102.1684210526314,149733.82514285715,0.0,9971.779999999999,121000.0,120000.0,180.4,92600.0,93000.0,50.0,IA,73.99081998882872,82.9,22.4,169.2,74.7,10.8
2010,Winnebago,2121.821052631579,155193.416,0.0,9118.820000000002,122000.0,121500.0,184.1,87800.0,87900.0,51.5,IA,71.2134085857507,79.8,23.2,172.1,75.4,6.3
2011,Winnebago,2111.8526315789472,156818.40685714287,0.0,8330.58,130000.0,128800.0,176.6,79800.0,80400.0,47.3,IA,88.69431359840162,99.4,23.0,158.6,60.1,23.9
2012,Winnebago,2072.2631578947367,154047.0,0.0,7675.0,133000.0,130500.0,161.1,77100.0,77500.0,47.7,IA,90.5024101083929,101.5,22.3,151.3,58.7,31.2
2013,Winnebago,2003.0526315789475,146879.19542857143,0.0,7152.080000000001,114000.0,109700.0,149.1,63600.0,64900.0,38.8,IA,77.84621198249586,87.3,25.0,131.2,40.4,21.5
2014,Winnebago,1904.221052631579,135314.99314285716,0.0,6761.820000000001,135500.0,133600.0,172.7,78300.0,78700.0,47.6,IA,77.43400657538211,86.8,19.3,156.4,58.4,8.1
2015,Winnebago,1775.7684210526313,119354.39314285712,0.0,6504.219999999999,126500.0,124100.0,203.6,88100.0,88500.0,59.4,IA,72.58936671054724,81.4,17.3,194.3,91.7,-3.9
2016,Winnebago,1617.6947368421054,98997.39542857144,0.0,6379.280000000001,139000.0,137500.0,197.9,78700.0,79200.0,62.5,IA,77.54786251530503,86.9,14.6,191.1,86.9,-2.7
2017,Winnebago,1430.0,74244.0,0.0,6387.0,123000.0,122600.0,210.7,90000.0,90500.0,59.9,IA,79.05481292262222,88.6,12.0,199.1,95.5,-3.0
2018,Winnebago,1212.684210526316,45094.20685714286,0.0,6527.380000000001,120000.0,118000.0,180.8,83200.0,84400.0,51.8,IA,71.10323645851828,79.7,9.0,170.7,75.0,-7.0
2019,Winnebago,965.7473684210528,11548.015999999989,7.280000000000086,6800.420000000001,123000.0,121200.0,198.8,79200.0,79800.0,54.2,IA,71.9779008807558,80.7,5.0,181.2,76.6,-18.9
1997,Worth,2715.0,44578.0,452.0,2610.166666666666,107000.0,105700.0,144.8,93800.0,94600.0,44.3,IA,67.39259970188141,75.5,8.8,146.5,66.2,4.0
1998,Worth,2740.7177142857145,47336.92228571429,448.2491428571429,3218.2,113300.0,112300.0,162.0,95900.0,96100.0,49.1,IA,65.72690305113792,73.7,9.0,162.1,76.6,-2.8
1999,Worth,2740.4765714285713,49003.68342857142,438.9737142857142,3735.5999999999967,108000.0,106500.0,148.7,102800.0,103000.0,42.1,IA,65.51742643117905,73.4,9.3,145.0,63.0,0.7
2000,Worth,2714.276571428572,49578.283428571434,424.1737142857143,4162.366666666667,112000.0,110300.0,145.9,98900.0,99000.0,47.4,IA,67.83323013782501,76.0,9.6,153.4,74.0,6.2
2001,Worth,2662.1177142857146,49060.72228571428,403.8491428571428,4498.499999999999,104000.0,102400.0,132.8,106100.0,107000.0,38.0,IA,56.052157551050186,62.8,9.6,131.5,54.2,-4.9
2002,Worth,2584.0,47451.0,378.0,4744.0,108400.0,106500.0,167.1,95800.0,96000.0,50.9,IA,59.082155644893646,66.2,9.7,168.9,83.0,-10.0
2003,Worth,2479.9234285714288,44749.11657142858,346.6262857142857,4898.866666666667,110000.0,108000.0,157.4,96500.0,97000.0,33.0,IA,65.64030188322067,73.6,9.3,128.6,37.5,-8.2
2004,Worth,2349.888,40955.072,309.728,4963.099999999999,114000.0,112500.0,170.2,92500.0,93000.0,40.9,IA,64.94904080033302,72.8,8.7,148.6,55.1,-12.0
2005,Worth,2203.092571428572,36519.70742857143,269.7097142857143,4936.700000000001,112000.0,110000.0,187.9,94000.0,94500.0,52.7,IA,69.69417136907578,78.1,8.1,179.6,85.3,-8.1
2006,Worth,2094.7302857142863,34148.069714285724,240.99885714285716,4819.666666666667,112000.0,111100.0,172.5,92800.0,93000.0,48.6,IA,65.8501367866993,73.8,7.7,164.8,74.5,-8.8
2007,Worth,2034.0,34291.0,226.0,4612.0,125500.0,124500.0,174.8,77300.0,77500.0,52.0,IA,84.64448779821396,94.9,7.7,165.6,69.7,6.7
2008,Worth,2020.9017142857147,36948.49828571429,224.71314285714288,4313.700000000001,117500.0,114000.0,171.0,84500.0,85000.0,45.5,IA,79.90749549865723,89.6,7.9,156.1,61.9,3.3
2009,Worth,2055.4354285714285,42120.56457142857,237.13828571428573,3924.7666666666664,115000.0,114000.0,180.9,87700.0,88000.0,42.5,IA,71.42481029033661,80.1,8.3,155.3,56.9,-10.0
2010,Worth,2131.008,49088.832,260.28800000000007,3478.5933333333332,119000.0,118000.0,193.2,84400.0,84600.0,52.7,IA,69.71348106861115,78.1,9.0,178.0,77.5,-13.4
2011,Worth,2208.0605714285716,53543.099428571426,276.23771428571433,3175.5400000000004,122500.0,121300.0,173.0,79800.0,80800.0,47.8,IA,86.72969418764114,97.2,9.5,158.9,63.6,11.4
2012,Worth,2280.0,54765.0,282.0,3049.0,128000.0,125200.0,143.1,74600.0,75000.0,45.6,IA,86.14380693435669,96.6,9.7,139.7,54.7,21.3
2013,Worth,2346.8262857142854,52754.53371428571,277.5748571428572,3098.9733333333334,89500.0,88300.0,150.7,60400.0,61100.0,41.1,IA,72.12177759408951,80.8,12.8,138.1,50.2,5.7
2014,Worth,2408.5394285714287,47511.70057142858,262.96228571428577,3325.46,126500.0,122200.0,181.5,74500.0,76800.0,49.8,IA,74.69972950220108,83.7,9.0,164.7,64.5,-7.5
2015,Worth,2465.1394285714287,39036.50057142857,238.16228571428573,3728.4599999999996,112500.0,109600.0,202.1,91100.0,91600.0,59.4,IA,62.51741789281368,70.1,8.1,197.8,99.9,-19.7
2016,Worth,2516.626285714286,27328.93371428571,203.17485714285715,4307.973333333333,121000.0,118800.0,191.5,76700.0,79600.0,58.2,IA,66.67925071716309,74.7,7.1,184.5,85.8,-16.9
2017,Worth,2563.0,12389.0,158.0,5064.0,106000.0,104400.0,198.5,93000.0,93500.0,54.8,IA,67.8954741358757,76.1,5.6,188.9,92.7,-14.5
2018,Worth,2604.260571428572,0.0,102.63771428571427,5996.540000000001,111500.0,110000.0,180.0,87200.0,88100.0,53.7,IA,61.103821098804474,68.5,4.5,176.6,84.7,-18.9
2019,Worth,2640.408,0.0,37.08799999999994,7105.593333333334,112000.0,110600.0,196.5,82500.0,83600.0,51.0,IA,61.833327770233154,69.3,5.0,177.1,75.8,-27.0
1997,Wright,1588.0,357847.0,64.0,0.0,168100.0,167000.0,143.2,161600.0,162000.0,42.8,IA,66.11743116378784,74.1,27.1,144.5,65.2,21.9
1998,Wright,1583.8045714285715,317760.4891428572,64.0,0.0,171400.0,170500.0,136.1,160200.0,160500.0,46.5,IA,63.599725802739464,71.3,24.0,148.9,73.9,20.3
