CountyName,BeefCows,Hogs,MilkCows,OtherCattle,CornAcresPlanted,CornGrainAcresHarvested,CornGrainYield_bupacre,CornSilageAcresHarvested,CornSilageYield_tonspacre,SoybeansAcresHarvested,SoybeansAcresPlanted,SoybeansYield_bupacre,Year,CommercialN_kg_ha,ManureN_kg_ha,GrainN_kg_ha,GrainN_neg_kg_ha,FixatedN_kg_ha,NitrogenSurplus_kg_ha
Lucas,18809,47084,21,14255,,,,,,,,,1/1/2019,37.98,0,0,0,0,38
Crawford,18651,308321,103,32068,214000,209500,183,,,151400,152000,55.6,1/1/2014,80.57,35.12,179.07,-179.07,83.94,20.6
Crawford,18670,304742,100,33007,218500,214500,199.1,,,148900,149500,58.5,1/1/2015,83.97,34.92,190.21,-190.21,88.48,17.2
Crawford,18690,301164,96,33945,224500,220500,213.5,,,136000,136500,64.3,1/1/2016,89.58,35.59,203.38,-203.38,94.21,16
Crawford,18710,297586,92,34884,205500,204000,221.9,,,149200,150000,61.3,1/1/2017,91.28,36.14,206.38,-206.38,98.28,19.3
Crawford,18730,294008,88,35823,201500,197800,214,,,145200,146500,61.7,1/1/2018,82.28,36.91,203.82,-203.82,98.97,14.3
Crawford,18750,290430,84,36761,208000,204500,234.7,,,139500,140500,61.9,1/1/2019,83.24,36.84,211.38,-211.38,95.21,3.9
Floyd,3563,192787,1406,20543,150000,143900,162.8,,,95200,95600,47.6,1/1/2014,77.31,29.45,154.14,-154.14,61.84,14.5
Floyd,3746,207563,1487,20339,139500,135300,196.5,,,106500,107000,58,1/1/2015,75.87,30.89,191.39,-191.39,93.36,8.7
Floyd,3928,222339,1569,20134,150500,144800,196.3,,,94400,95100,57.5,1/1/2016,80.96,32.56,185.68,-185.68,82.24,10.1
Floyd,4110,237115,1651,19930,140500,137400,203.4,,,106800,107500,54.1,1/1/2017,82.5,33.78,186.6,-186.6,84.09,13.8
Floyd,4292,251891,1733,19726,141000,136200,184.4,,,95900,96700,49.8,1/1/2018,74.3,36.85,168.71,-168.71,69.46,11.9
Floyd,4474,266667,1815,19521,144000,137900,202.9,,,89500,90200,54.3,1/1/2019,75.18,39.03,183.12,-183.12,75.13,6.2
